time	plasma_radioactivity	whole_blood_radioactivity	metabolite_parent_fraction
5	0	0	0.99995
15	135.7962	96.9645	0.99887
25	1638.106	1170.1531	0.99681
35	1208.8245	863.8529	0.99466
45	658.5524	470.8068	0.99266
55	496.5699	355.1475	0.99082
65	413.5109	295.8635	0.98911
75	384.3529	275.1127	0.98751
85	389.4571	278.8794	0.986
95	356.8333	255.6221	0.98457
105	369.9875	265.1529	0.98321
115	367.1288	263.2111	0.9819
130	357.371	256.3715	0.98004
150	329.8333	236.809	0.97771
170	317.7096	228.2904	0.97552
195	316.6224	227.741	0.97295
225	307.3447	221.3384	0.97005
255	296.9402	214.1076	0.96734
300	285.564	206.2841	0.96353
360	274.5891	198.8445	0.95884
420	265.443	192.6957	0.95451
525	250.4387	182.5922	0.94758
675	239.292	175.5532	0.93872
825	217.9637	160.9094	0.93075
1050	208.6258	153.9074	0.91997
1350	196.556	143.8983	0.90717
1650	186.2779	135.3424	0.89565
1950	177.1192	128.4871	0.88508
2250	168.8504	123.0336	0.87525
2550	170.1183	124.5113	0.86601
2850	164.3759	120.8484	0.85727
3150	157.3666	116.2168	0.84896
3450	155.8393	115.61	0.84101
3750	154.9646	114.9937	0.83337
4050	150.2889	111.0837	0.82602
4350	151.1081	111.2499	0.81892
4650	144.2769	105.8044	0.81204
4950	145.0105	105.9275	0.80537
5250	140.3556	102.1286	0.79889
5550	133.0321	96.425	0.79257
5850	130.9236	94.5306	0.78642
6150	125.9304	90.576	0.78041
6450	125.254	89.7447	0.77454
6750	113.1476	80.7614	0.7688
7050	106.2806	75.5717	0.76317
